Strategy,Total Output,End WIP,Avg Cycle Time,Strategy Label
original,49,64,15.69,Base Game
original,56,53,14.65,Base Game
original,50,62,18.0,Base Game
original,54,58,14.22,Base Game
original,55,70,15.05,Base Game
original,52,62,14.81,Base Game
original,51,62,16.07,Base Game
original,53,66,17.65,Base Game
original,51,62,16.27,Base Game
original,50,54,15.71,Base Game
original,48,55,16.92,Base Game
original,51,56,16.0,Base Game
original,55,53,14.26,Base Game
original,50,70,16.57,Base Game
original,54,70,16.17,Base Game
original,48,48,15.25,Base Game
original,50,61,16.29,Base Game
original,60,24,14.54,Base Game
original,54,48,13.56,Base Game
original,55,67,17.0,Base Game
original,51,61,14.67,Base Game
original,52,56,14.88,Base Game
original,53,56,15.12,Base Game
original,53,57,15.12,Base Game
original,58,57,14.0,Base Game
original,49,71,15.23,Base Game
original,53,46,13.0,Base Game
original,53,47,13.76,Base Game
original,54,65,14.89,Base Game
original,55,45,13.79,Base Game
original,54,51,15.0,Base Game
original,51,63,15.8,Base Game
original,47,60,16.91,Base Game
original,56,43,13.05,Base Game
original,52,68,17.44,Base Game
original,44,59,17.5,Base Game
original,56,36,13.15,Base Game
original,51,51,16.87,Base Game
original,54,47,14.28,Base Game
original,57,43,14.62,Base Game
original,59,41,14.61,Base Game
original,53,47,15.65,Base Game
original,52,54,15.25,Base Game
original,52,47,12.25,Base Game
original,45,72,18.44,Base Game
original,55,42,14.63,Base Game
original,58,56,15.23,Base Game
original,51,64,16.13,Base Game
original,54,52,15.89,Base Game
original,58,50,14.5,Base Game
original,50,62,16.93,Base Game
original,53,64,15.53,Base Game
original,47,61,16.82,Base Game
original,49,61,15.15,Base Game
original,45,62,15.44,Base Game
original,54,62,14.89,Base Game
original,57,60,13.67,Base Game
original,53,52,15.82,Base Game
original,47,50,15.91,Base Game
original,55,59,15.0,Base Game
original,52,56,15.56,Base Game
original,56,58,15.85,Base Game
original,54,56,16.61,Base Game
original,58,56,13.59,Base Game
original,53,64,15.18,Base Game
original,51,52,13.93,Base Game
original,54,60,16.28,Base Game
original,46,62,16.6,Base Game
original,57,51,15.38,Base Game
original,59,49,14.35,Base Game
original,60,41,13.83,Base Game
original,56,47,14.15,Base Game
original,50,46,15.57,Base Game
original,56,59,14.1,Base Game
original,56,56,14.0,Base Game
original,53,38,14.65,Base Game
original,48,56,15.42,Base Game
original,56,66,14.95,Base Game
original,51,52,14.0,Base Game
original,57,47,14.62,Base Game
original,51,55,14.53,Base Game
original,56,53,16.15,Base Game
original,51,56,15.13,Base Game
original,58,54,14.18,Base Game
original,51,41,15.33,Base Game
original,49,65,16.92,Base Game
original,51,49,15.8,Base Game
original,45,48,16.22,Base Game
original,53,65,16.18,Base Game
original,53,51,15.59,Base Game
original,51,61,17.07,Base Game
original,53,51,14.24,Base Game
original,53,64,16.41,Base Game
original,56,49,16.0,Base Game
original,53,51,14.82,Base Game
original,56,57,14.2,Base Game
original,48,59,15.18,Base Game
original,56,60,15.0,Base Game
original,52,55,14.62,Base Game
original,47,48,15.36,Base Game
original,52,61,15.81,Base Game
original,56,50,13.3,Base Game
original,50,64,14.5,Base Game
original,53,62,16.0,Base Game
original,48,59,16.83,Base Game
original,47,56,16.55,Base Game
original,49,57,15.54,Base Game
original,56,47,14.05,Base Game
original,51,62,15.6,Base Game
original,53,60,15.24,Base Game
original,52,43,15.75,Base Game
original,56,47,14.55,Base Game
original,56,57,14.55,Base Game
original,57,42,14.86,Base Game
original,49,60,14.69,Base Game
original,58,55,13.09,Base Game
original,52,48,14.88,Base Game
original,46,60,15.4,Base Game
original,59,36,12.0,Base Game
original,50,55,16.21,Base Game
original,56,49,14.15,Base Game
original,52,51,15.38,Base Game
original,45,66,18.67,Base Game
original,57,41,13.24,Base Game
original,49,53,16.15,Base Game
original,53,56,15.35,Base Game
original,54,49,15.33,Base Game
original,53,52,14.76,Base Game
original,49,53,14.54,Base Game
original,55,59,15.42,Base Game
original,51,49,16.93,Base Game
original,57,53,14.33,Base Game
original,49,56,17.54,Base Game
original,52,52,15.44,Base Game
original,56,61,13.55,Base Game
original,55,53,15.26,Base Game
original,53,62,16.53,Base Game
original,53,48,13.18,Base Game
original,54,56,15.61,Base Game
original,52,52,15.25,Base Game
original,56,48,14.55,Base Game
original,57,43,13.95,Base Game
original,58,48,13.64,Base Game
original,57,37,14.48,Base Game
original,59,52,14.65,Base Game
original,52,67,14.88,Base Game
original,47,60,17.27,Base Game
original,51,54,16.93,Base Game
original,51,65,15.13,Base Game
original,52,56,15.81,Base Game
original,55,49,15.11,Base Game
original,51,33,14.0,Base Game
original,55,50,14.21,Base Game
original,57,43,13.48,Base Game
original,53,44,14.59,Base Game
original,51,61,14.33,Base Game
original,54,49,13.72,Base Game
original,48,53,17.67,Base Game
original,56,47,15.2,Base Game
original,54,45,13.56,Base Game
original,56,56,15.55,Base Game
original,48,59,16.5,Base Game
original,51,45,15.4,Base Game
original,51,57,15.6,Base Game
original,52,56,14.5,Base Game
original,53,32,15.0,Base Game
original,54,53,14.39,Base Game
original,44,47,18.25,Base Game
original,52,48,15.62,Base Game
original,54,45,13.78,Base Game
original,49,67,17.08,Base Game
original,56,49,12.7,Base Game
original,48,57,17.08,Base Game
original,52,47,14.12,Base Game
original,51,50,15.07,Base Game
original,58,49,14.5,Base Game
original,53,45,15.71,Base Game
original,52,47,15.5,Base Game
original,51,67,16.93,Base Game
original,53,49,13.53,Base Game
original,60,34,13.12,Base Game
original,51,61,16.27,Base Game
original,54,47,16.5,Base Game
original,53,47,14.71,Base Game
original,51,48,15.33,Base Game
original,51,51,14.6,Base Game
original,54,47,15.11,Base Game
original,44,53,16.5,Base Game
original,58,50,15.0,Base Game
original,55,52,15.26,Base Game
original,52,57,15.44,Base Game
original,47,63,15.55,Base Game
original,51,33,16.47,Base Game
original,55,48,13.89,Base Game
original,52,59,15.06,Base Game
original,50,57,14.86,Base Game
original,56,57,15.5,Base Game
original,52,62,15.12,Base Game
original,50,58,15.86,Base Game
original,53,62,15.41,Base Game
original,52,72,15.88,Base Game
original,50,67,17.14,Base Game
original,44,67,18.38,Base Game
original,56,42,14.65,Base Game
original,56,58,15.15,Base Game
original,56,45,14.1,Base Game
original,53,51,15.94,Base Game
original,44,53,15.75,Base Game
original,57,56,14.14,Base Game
original,53,52,16.0,Base Game
original,55,53,15.16,Base Game
original,45,76,18.89,Base Game
original,53,64,16.29,Base Game
original,54,48,14.89,Base Game
original,53,69,15.47,Base Game
original,53,58,16.29,Base Game
original,51,55,17.2,Base Game
original,55,47,13.21,Base Game
original,47,64,17.91,Base Game
original,55,56,13.53,Base Game
original,50,55,14.14,Base Game
original,51,64,16.47,Base Game
original,52,44,14.06,Base Game
original,61,40,14.12,Base Game
original,54,50,15.17,Base Game
original,52,48,16.31,Base Game
original,49,68,14.92,Base Game
original,58,56,15.59,Base Game
original,50,61,17.07,Base Game
original,53,50,14.53,Base Game
original,49,62,16.46,Base Game
original,52,50,14.06,Base Game
original,52,57,15.38,Base Game
original,49,64,15.23,Base Game
original,51,60,16.6,Base Game
original,56,48,13.75,Base Game
original,54,50,14.56,Base Game
original,49,64,15.85,Base Game
original,52,59,16.31,Base Game
original,55,54,15.84,Base Game
original,50,53,15.71,Base Game
original,51,48,14.27,Base Game
original,53,45,14.82,Base Game
original,52,47,14.81,Base Game
original,46,68,16.9,Base Game
original,53,54,14.47,Base Game
original,48,63,17.67,Base Game
original,58,47,15.18,Base Game
original,49,63,17.08,Base Game
original,55,42,14.16,Base Game
original,52,46,15.69,Base Game
original,61,35,15.24,Base Game
original,48,57,16.0,Base Game
original,54,57,13.61,Base Game
original,54,42,14.39,Base Game
original,56,41,15.0,Base Game
original,54,50,14.17,Base Game
original,50,46,17.07,Base Game
original,57,52,14.24,Base Game
original,53,49,15.29,Base Game
original,47,52,16.18,Base Game
original,54,43,14.22,Base Game
original,58,57,15.55,Base Game
original,59,51,13.22,Base Game
original,55,40,12.79,Base Game
original,53,62,16.35,Base Game
original,54,60,15.17,Base Game
original,54,53,15.06,Base Game
original,54,41,14.94,Base Game
original,53,56,15.35,Base Game
original,52,64,14.44,Base Game
original,51,49,14.07,Base Game
original,48,56,14.75,Base Game
original,52,43,15.0,Base Game
original,46,57,15.2,Base Game
original,56,58,15.15,Base Game
original,49,55,14.92,Base Game
original,46,59,15.9,Base Game
original,49,69,17.31,Base Game
original,53,57,14.0,Base Game
original,57,49,14.38,Base Game
original,55,40,15.32,Base Game
original,51,57,16.33,Base Game
original,53,57,15.47,Base Game
original,50,48,14.79,Base Game
original,52,60,14.38,Base Game
original,51,52,15.2,Base Game
original,50,54,15.29,Base Game
original,57,47,14.33,Base Game
original,53,53,15.65,Base Game
original,49,65,16.54,Base Game
original,50,62,15.71,Base Game
original,52,55,16.56,Base Game
original,51,54,16.53,Base Game
original,54,55,16.22,Base Game
original,52,49,16.56,Base Game
original,54,53,16.0,Base Game
original,56,50,15.75,Base Game
original,58,52,14.77,Base Game
original,52,59,16.62,Base Game
original,55,49,14.84,Base Game
original,56,45,14.55,Base Game
original,56,42,12.75,Base Game
original,56,50,14.75,Base Game
original,56,48,13.35,Base Game
original,55,51,13.84,Base Game
original,53,55,15.47,Base Game
original,56,64,13.55,Base Game
original,50,56,16.57,Base Game
original,55,43,15.05,Base Game
original,57,43,14.0,Base Game
original,53,54,15.24,Base Game
original,52,55,15.94,Base Game
original,52,65,15.19,Base Game
original,53,50,14.71,Base Game
original,54,61,15.56,Base Game
original,50,60,15.0,Base Game
original,55,53,14.74,Base Game
original,53,56,14.94,Base Game
original,53,58,14.82,Base Game
original,58,45,13.68,Base Game
original,56,57,16.5,Base Game
original,56,54,14.85,Base Game
original,49,38,15.31,Base Game
original,49,59,14.77,Base Game
original,54,42,13.39,Base Game
original,50,55,15.21,Base Game
original,56,44,13.55,Base Game
original,57,40,13.67,Base Game
original,56,51,15.5,Base Game
original,55,50,15.11,Base Game
original,51,61,15.13,Base Game
original,51,49,16.4,Base Game
original,45,63,17.11,Base Game
original,54,66,15.5,Base Game
original,50,61,15.79,Base Game
original,56,59,16.3,Base Game
original,50,62,14.86,Base Game
original,57,45,14.24,Base Game
original,49,52,14.77,Base Game
original,58,46,15.05,Base Game
original,51,51,14.47,Base Game
original,53,59,17.12,Base Game
original,56,35,12.15,Base Game
original,54,52,15.56,Base Game
original,55,46,14.79,Base Game
original,56,56,13.8,Base Game
original,48,62,15.58,Base Game
original,45,60,16.78,Base Game
original,50,56,16.86,Base Game
original,48,55,14.42,Base Game
original,53,51,16.29,Base Game
original,55,53,15.32,Base Game
original,57,53,13.9,Base Game
original,55,56,14.53,Base Game
original,51,51,14.2,Base Game
original,52,64,16.06,Base Game
original,47,63,17.27,Base Game
original,50,44,15.43,Base Game
original,51,53,16.8,Base Game
original,53,41,15.76,Base Game
original,56,49,14.5,Base Game
original,54,65,15.44,Base Game
original,48,52,14.92,Base Game
original,51,40,15.4,Base Game
original,53,36,12.12,Base Game
original,54,68,15.94,Base Game
original,55,47,15.32,Base Game
original,53,35,13.88,Base Game
original,51,57,13.87,Base Game
original,50,63,15.71,Base Game
original,51,66,14.33,Base Game
original,52,52,14.06,Base Game
original,53,52,14.24,Base Game
original,50,61,16.57,Base Game
original,57,48,14.24,Base Game
original,52,60,15.31,Base Game
original,52,53,13.88,Base Game
original,53,52,15.0,Base Game
original,50,35,15.5,Base Game
original,51,58,14.67,Base Game
original,58,44,13.32,Base Game
original,55,55,14.89,Base Game
original,53,71,14.65,Base Game
original,48,52,16.08,Base Game
original,55,56,14.53,Base Game
original,55,56,15.21,Base Game
original,53,64,14.71,Base Game
original,55,57,15.58,Base Game
original,52,60,15.88,Base Game
original,55,48,15.42,Base Game
original,52,59,14.88,Base Game
original,50,59,15.36,Base Game
original,53,48,16.06,Base Game
original,55,55,15.95,Base Game
original,57,48,14.71,Base Game
original,49,58,15.62,Base Game
original,58,46,13.91,Base Game
original,48,53,16.25,Base Game
original,57,47,13.81,Base Game
original,54,66,13.67,Base Game
original,53,38,14.24,Base Game
original,51,54,15.4,Base Game
original,54,66,16.11,Base Game
original,54,46,14.61,Base Game
original,50,45,12.43,Base Game
original,54,52,14.11,Base Game
original,53,52,14.47,Base Game
original,48,49,16.42,Base Game
original,50,67,16.14,Base Game
original,55,54,14.37,Base Game
original,50,46,16.07,Base Game
original,54,60,14.72,Base Game
original,55,51,16.11,Base Game
original,55,58,15.79,Base Game
original,53,61,15.76,Base Game
original,54,33,14.17,Base Game
original,52,61,14.44,Base Game
original,55,64,14.84,Base Game
original,52,44,13.5,Base Game
original,58,48,13.5,Base Game
original,58,29,14.09,Base Game
original,57,55,13.1,Base Game
original,53,51,15.94,Base Game
original,52,50,14.19,Base Game
original,51,54,14.4,Base Game
original,54,56,13.33,Base Game
original,49,48,17.08,Base Game
original,54,44,14.94,Base Game
original,53,56,14.47,Base Game
original,50,67,15.5,Base Game
original,54,51,15.61,Base Game
original,56,48,15.0,Base Game
original,50,55,14.79,Base Game
original,51,57,15.33,Base Game
original,48,60,15.92,Base Game
original,57,53,15.29,Base Game
original,55,58,14.79,Base Game
original,48,55,17.83,Base Game
original,53,54,15.12,Base Game
original,53,68,15.41,Base Game
original,52,57,14.12,Base Game
original,48,53,14.75,Base Game
original,50,52,15.71,Base Game
original,51,54,16.6,Base Game
original,53,52,16.76,Base Game
original,53,41,14.29,Base Game
original,54,52,15.33,Base Game
original,52,43,15.62,Base Game
original,53,58,15.88,Base Game
original,50,66,16.57,Base Game
original,54,40,13.33,Base Game
original,50,49,15.93,Base Game
original,54,41,14.33,Base Game
original,51,54,16.6,Base Game
original,50,72,15.93,Base Game
original,56,52,13.63,Base Game
original,60,41,13.46,Base Game
original,50,58,15.36,Base Game
original,51,56,14.87,Base Game
original,55,44,14.95,Base Game
original,51,52,15.6,Base Game
original,53,57,14.06,Base Game
original,53,42,13.76,Base Game
original,53,62,15.53,Base Game
original,47,58,17.27,Base Game
original,55,41,14.37,Base Game
original,51,52,15.73,Base Game
original,58,51,14.64,Base Game
original,54,59,15.83,Base Game
original,55,53,14.42,Base Game
original,60,45,13.71,Base Game
original,49,48,16.0,Base Game
original,50,42,14.93,Base Game
original,54,49,12.56,Base Game
original,49,52,17.54,Base Game
original,51,54,14.07,Base Game
original,50,59,15.57,Base Game
original,49,64,14.54,Base Game
original,56,57,15.6,Base Game
original,51,55,16.07,Base Game
original,50,48,15.07,Base Game
original,49,60,16.31,Base Game
original,53,46,13.76,Base Game
original,44,64,17.62,Base Game
original,57,60,14.71,Base Game
original,56,56,14.7,Base Game
original,52,52,16.75,Base Game
original,57,41,14.76,Base Game
original,53,59,13.24,Base Game
original,53,55,15.35,Base Game
original,46,65,15.6,Base Game
original,47,66,17.36,Base Game
original,48,51,16.0,Base Game
original,50,80,15.57,Base Game
original,51,60,15.6,Base Game
original,56,53,15.05,Base Game
original,50,52,17.5,Base Game
original,51,55,16.73,Base Game
original,59,58,15.7,Base Game
original,55,54,14.42,Base Game
original,54,38,13.78,Base Game
original,54,53,14.61,Base Game
original,59,42,13.57,Base Game
original,54,54,14.22,Base Game
original,53,57,16.18,Base Game
original,56,39,13.4,Base Game
original,54,52,14.56,Base Game
original,53,53,15.35,Base Game
original,46,66,17.5,Base Game
original,53,65,14.94,Base Game
original,54,67,15.22,Base Game
original,50,50,16.43,Base Game
original,55,51,16.26,Base Game
original,52,46,13.81,Base Game
original,50,59,14.79,Base Game
original,57,40,14.24,Base Game
original,55,64,15.16,Base Game
original,52,53,14.88,Base Game
original,48,51,16.75,Base Game
original,51,63,16.13,Base Game
original,46,60,16.0,Base Game
original,53,55,13.82,Base Game
original,53,42,14.06,Base Game
original,51,50,15.07,Base Game
original,52,73,16.31,Base Game
original,51,53,15.93,Base Game
original,51,47,14.13,Base Game
original,50,41,12.86,Base Game
original,54,49,15.72,Base Game
original,56,59,15.95,Base Game
original,53,49,15.24,Base Game
original,45,65,17.33,Base Game
original,57,42,14.24,Base Game
original,53,56,15.41,Base Game
original,51,55,15.13,Base Game
original,48,51,16.58,Base Game
original,53,57,16.35,Base Game
original,52,47,16.0,Base Game
original,48,74,16.58,Base Game
original,53,50,14.53,Base Game
original,48,63,15.17,Base Game
original,54,53,15.22,Base Game
original,50,38,14.57,Base Game
original,52,62,15.56,Base Game
original,50,52,14.86,Base Game
original,48,71,16.0,Base Game
original,55,47,13.74,Base Game
original,54,51,15.06,Base Game
original,57,47,13.29,Base Game
original,57,42,13.29,Base Game
original,59,55,14.61,Base Game
original,49,53,15.62,Base Game
original,49,56,14.92,Base Game
original,53,47,13.71,Base Game
original,52,58,14.69,Base Game
original,51,64,14.67,Base Game
original,50,55,15.36,Base Game
original,57,59,14.57,Base Game
original,51,47,14.47,Base Game
original,48,60,17.58,Base Game
original,49,45,13.77,Base Game
original,52,62,14.62,Base Game
original,49,48,16.62,Base Game
original,54,55,14.11,Base Game
original,51,50,15.67,Base Game
original,47,70,17.45,Base Game
original,57,48,13.0,Base Game
original,44,65,16.62,Base Game
original,56,62,14.3,Base Game
original,51,51,15.27,Base Game
original,48,63,15.92,Base Game
original,54,48,16.22,Base Game
original,50,57,17.14,Base Game
original,50,50,16.0,Base Game
original,53,44,13.47,Base Game
original,51,58,14.87,Base Game
original,47,65,15.55,Base Game
original,50,55,14.14,Base Game
original,48,54,16.42,Base Game
original,44,74,14.75,Base Game
original,54,48,14.28,Base Game
original,55,49,14.16,Base Game
original,59,60,15.83,Base Game
original,45,79,18.0,Base Game
original,50,48,14.36,Base Game
original,46,65,16.2,Base Game
original,53,53,15.76,Base Game
original,47,48,16.36,Base Game
original,53,62,15.53,Base Game
original,57,37,13.29,Base Game
original,51,51,15.47,Base Game
original,54,47,12.72,Base Game
original,47,61,17.27,Base Game
original,53,56,13.24,Base Game
original,53,47,13.76,Base Game
original,53,62,15.06,Base Game
original,51,48,15.8,Base Game
original,50,59,15.57,Base Game
original,48,55,15.33,Base Game
original,46,65,17.5,Base Game
original,49,49,13.92,Base Game
original,52,48,14.44,Base Game
original,52,50,15.38,Base Game
original,48,67,17.17,Base Game
original,50,45,14.0,Base Game
original,56,45,13.2,Base Game
original,52,51,15.38,Base Game
original,50,47,14.57,Base Game
original,57,63,14.86,Base Game
original,51,62,14.13,Base Game
original,47,57,16.27,Base Game
original,55,61,14.74,Base Game
original,49,65,16.69,Base Game
original,49,64,16.23,Base Game
original,57,57,15.48,Base Game
original,47,56,16.64,Base Game
original,52,52,14.94,Base Game
original,51,49,15.07,Base Game
original,53,50,14.71,Base Game
original,47,63,16.55,Base Game
original,51,54,16.0,Base Game
original,56,50,14.85,Base Game
original,55,39,14.42,Base Game
