SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
187;original;Base Game;49;52;17,62
188;original;Base Game;57;39;13,86
189;original;Base Game;49;63;16,85
190;original;Base Game;51;56;16,07
191;original;Base Game;54;52;15,61
192;original;Base Game;57;49;14,05
193;original;Base Game;54;56;14,61
194;original;Base Game;60;48;13,04
195;original;Base Game;54;53;16,78
196;original;Base Game;46;66;15,9
197;original;Base Game;49;50;16,15
198;original;Base Game;52;47;15,88
199;original;Base Game;51;62;15,6
200;original;Base Game;50;60;15,36
201;original;Base Game;50;45;16,29
202;original;Base Game;50;65;16,57
203;original;Base Game;52;68;15,88
204;original;Base Game;53;41;15,29
205;original;Base Game;53;62;16,24
206;original;Base Game;48;60;14,75
207;original;Base Game;50;64;15,71
208;original;Base Game;53;51;14,24
209;original;Base Game;52;58;15,56
210;original;Base Game;57;60;15,43
211;original;Base Game;55;56;14,26
212;original;Base Game;57;54;14,38
213;original;Base Game;50;63;16,36
214;original;Base Game;50;59;15,21
215;original;Base Game;55;54;15,47
216;original;Base Game;54;48;15,11
217;original;Base Game;55;42;15,74
218;original;Base Game;52;25;12,81
219;original;Base Game;58;66;14,14
220;original;Base Game;49;67;16,31
221;original;Base Game;49;50;14,85
222;original;Base Game;55;62;15,37
223;original;Base Game;52;60;15,44
224;original;Base Game;52;48;14,19
225;original;Base Game;55;56;15
226;original;Base Game;54;52;15,44
227;original;Base Game;53;46;15,35
228;original;Base Game;51;49;14,87
229;original;Base Game;52;67;14,44
230;original;Base Game;53;47;14,94
231;original;Base Game;51;61;17,13
232;original;Base Game;52;64;16
233;original;Base Game;49;58;17,38
234;original;Base Game;50;55;15,07
235;original;Base Game;54;44;14,67
236;original;Base Game;52;59;14,38
237;original;Base Game;53;57;15,29
238;original;Base Game;55;57;13,79
239;original;Base Game;53;65;14,82
240;original;Base Game;47;58;16,55
241;original;Base Game;53;52;16,12
242;original;Base Game;48;67;16,25
243;original;Base Game;50;64;17,36
244;original;Base Game;46;54;15,6
245;original;Base Game;53;55;14,06
246;original;Base Game;55;38;14,26
247;original;Base Game;52;56;16,5
248;original;Base Game;51;69;16,73
249;original;Base Game;52;48;15
250;original;Base Game;53;51;14,82
251;original;Base Game;50;68;17,21
252;original;Base Game;45;53;15,78
253;original;Base Game;50;48;15,14
254;original;Base Game;55;56;13,58
255;original;Base Game;56;44;13,95
256;original;Base Game;52;63;15,5
257;original;Base Game;59;60;15,3
258;original;Base Game;52;68;16,88
259;original;Base Game;50;57;16,71
260;original;Base Game;57;56;13,52
261;original;Base Game;54;40;15
262;original;Base Game;51;41;14,27
263;original;Base Game;49;55;15,92
264;original;Base Game;52;55;15,75
265;original;Base Game;51;68;15,87
266;original;Base Game;55;56;14,79
267;original;Base Game;56;53;13,1
268;original;Base Game;57;58;14,62
269;original;Base Game;55;49;15,95
270;original;Base Game;52;57;15,56
271;original;Base Game;59;54;14,48
272;original;Base Game;53;62;16,35
273;original;Base Game;53;46;14,53
274;original;Base Game;55;52;13,79
275;original;Base Game;52;74;16,88
276;original;Base Game;48;59;17,5
277;original;Base Game;50;55;14,36
278;original;Base Game;62;36;14,88
279;original;Base Game;52;34;13,31
280;original;Base Game;54;54;15,39
281;original;Base Game;54;51;14,44
282;original;Base Game;55;44;13,53
283;original;Base Game;50;68;16,93
284;original;Base Game;52;50;16,38
285;original;Base Game;53;67;15,29
286;original;Base Game;45;58;17,89
287;original;Base Game;53;50;13,53
288;original;Base Game;60;53;14,38
289;original;Base Game;52;53;16,31
290;original;Base Game;53;54;13,88
291;original;Base Game;53;56;14,82
292;original;Base Game;53;56;14,94
293;original;Base Game;51;54;15,47
294;original;Base Game;54;50;15,39
295;original;Base Game;55;51;15,32
296;original;Base Game;48;58;14,33
297;original;Base Game;49;47;16,85
298;original;Base Game;53;53;13,94
299;original;Base Game;56;51;14,9
300;original;Base Game;48;44;14,5
301;original;Base Game;56;54;14,55
302;original;Base Game;53;53;15,35
303;original;Base Game;59;44;13,91
304;original;Base Game;47;46;16,18
305;original;Base Game;53;66;15,35
306;original;Base Game;49;66;15,08
307;original;Base Game;51;51;13,13
308;original;Base Game;55;45;15,32
309;original;Base Game;53;53;13,88
310;original;Base Game;56;53;15,05
311;original;Base Game;58;45;14,55
312;original;Base Game;49;50;15,46
313;original;Base Game;43;73;17,71
314;original;Base Game;49;62;15,77
315;original;Base Game;53;62;15
316;original;Base Game;55;43;12,68
317;original;Base Game;57;50;14,33
318;original;Base Game;53;52;14,24
319;original;Base Game;52;55;15,56
320;original;Base Game;56;61;15,15
321;original;Base Game;51;55;16,13
322;original;Base Game;52;55;15,44
323;original;Base Game;47;53;17,45
324;original;Base Game;54;59;15,22
325;original;Base Game;51;66;14,93
326;original;Base Game;49;66;16,85
327;original;Base Game;53;47;15,18
328;original;Base Game;48;64;15,75
329;original;Base Game;61;44;13
330;original;Base Game;57;37;13,71
331;original;Base Game;51;47;16,47
332;original;Base Game;61;40;13,12
333;original;Base Game;50;49;16,29
334;original;Base Game;54;48;13,33
335;original;Base Game;46;53;18,1
336;original;Base Game;48;62;17,17
337;original;Base Game;51;58;15,87
338;original;Base Game;52;41;12,12
339;original;Base Game;47;64;16,73
340;original;Base Game;53;45;14,94
341;original;Base Game;54;50;14,78
342;original;Base Game;55;45;14,63
343;original;Base Game;53;53;15,47
344;original;Base Game;55;58;15,37
345;original;Base Game;45;61;16,67
346;original;Base Game;54;66;15
347;original;Base Game;57;46;14
348;original;Base Game;49;66;16
349;original;Base Game;49;44;16,69
350;original;Base Game;55;57;14,16
351;original;Base Game;56;44;13,9
352;original;Base Game;56;46;14,5
353;original;Base Game;53;48;14,65
354;original;Base Game;55;52;16,11
355;original;Base Game;55;54;15
356;original;Base Game;53;41;14,71
357;original;Base Game;50;55;16,5
358;original;Base Game;59;51;13,35
359;original;Base Game;53;47;15,76
360;original;Base Game;49;54;15,77
361;original;Base Game;50;57;16,5
362;original;Base Game;51;45;13,93
363;original;Base Game;53;61;13,71
364;original;Base Game;54;48;14,56
365;original;Base Game;49;53;16,69
366;original;Base Game;55;48;15,47
367;original;Base Game;48;54;15,17
368;original;Base Game;49;63;15,77
369;original;Base Game;57;47;15,67
370;original;Base Game;55;69;15,95
371;original;Base Game;50;51;15,43
372;original;Base Game;56;43;14,7
373;original;Base Game;50;57;15,29
374;original;Base Game;50;55;16,07
375;original;Base Game;60;52;14,5
376;original;Base Game;54;46;12,94
377;original;Base Game;53;54;15,82
378;original;Base Game;48;50;17,83
379;original;Base Game;49;55;16,62
380;original;Base Game;46;72;15,9
381;original;Base Game;55;58;15,42
382;original;Base Game;57;51;14,52
383;original;Base Game;47;63;15,09
384;original;Base Game;54;49;15,94
385;original;Base Game;57;46;13,57
386;original;Base Game;43;70;18
387;original;Base Game;49;61;16,08
388;original;Base Game;51;42;12,53
389;original;Base Game;52;63;16,44
390;original;Base Game;53;50;15,06
391;original;Base Game;48;54;15,75
392;original;Base Game;50;50;15
393;original;Base Game;58;61;14,32
394;original;Base Game;52;51;15,88
395;original;Base Game;52;41;14,88
